order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name,users.user_id,users.name,users.city,users.membership,restaurants (3).restaurant_id,restaurants (3). restaurant_name,restaurants (3). cuisine,restaurants (3). rating,RatingRange
776,1989,299,31-Jul-23,1489.76,Taste of Kitchen North Indian,1989,User_1989,Bangalore,Regular,299, Restaurant_299, Mexican,3.2,3.0-3.5
872,1253,448,30-Jun-23,536.65,Amma Biryani Family Restaurant,1253,User_1253,Bangalore,Regular,448, Restaurant_448, Mexican,3.4,3.0-3.5
1025,1629,274,22-Jan-23,538.48,Amma Mess Andhra,1629,User_1629,Bangalore,Regular,274, Restaurant_274, Mexican,3.3,3.0-3.5
1082,1038,402,29-Jun-23,1423.95,Sai Restaurant Andhra,1038,User_1038,Bangalore,Regular,402, Restaurant_402, Mexican,3.3,3.0-3.5
2861,1774,206,17-Sep-23,1376.41,Swagath Biryani Non-Veg,1774,User_1774,Bangalore,Regular,206, Restaurant_206, Mexican,3.2,3.0-3.5
1170,2603,247,08-Apr-23,507.85,Hotel Mess Punjabi,2603,User_2603,Bangalore,Regular,247, Restaurant_247, Mexican,3.2,3.0-3.5
2590,1192,245,03-May-23,1441.47,Classic Biryani North Indian,1192,User_1192,Bangalore,Regular,245, Restaurant_245, Mexican,3.5,3.0-3.5
1266,2689,439,09-Jan-23,544.79,Classic Cafe Family Restaurant,2689,User_2689,Bangalore,Regular,439, Restaurant_439, Mexican,3.1,3.0-3.5
1279,1811,409,16-Nov-23,1497.9,Royal Kitchen Chinese,1811,User_1811,Bangalore,Regular,409, Restaurant_409, Mexican,3.5,3.0-3.5
1362,1811,45,24-Apr-23,282.46,Annapurna Restaurant Punjabi,1811,User_1811,Bangalore,Regular,45, Restaurant_45, Mexican,3,3.0-3.5
2786,1689,141,27-May-23,995,Amma Kitchen South Indian,1689,User_1689,Bangalore,Regular,141, Restaurant_141, Mexican,3.3,3.0-3.5
1646,1547,303,12-Oct-23,1108.13,Swagath Foods Andhra,1547,User_1547,Bangalore,Regular,303, Restaurant_303, Mexican,3.2,3.0-3.5
1952,1547,73,24-Nov-23,581.2,Spice Mess Andhra,1547,User_1547,Bangalore,Regular,73, Restaurant_73, Mexican,3.1,3.0-3.5
2512,2559,72,29-Apr-23,261.59,Sri Foods Chinese,2559,User_2559,Bangalore,Regular,72, Restaurant_72, Mexican,3.4,3.0-3.5
1713,1717,250,07-Apr-23,770.05,Sai Foods Non-Veg,1717,User_1717,Bangalore,Regular,250, Restaurant_250, Mexican,3.4,3.0-3.5
2169,1937,220,06-Nov-23,169.41,Spice Kitchen North Indian,1937,User_1937,Bangalore,Regular,220, Restaurant_220, Mexican,3.2,3.0-3.5
2137,2418,37,27-May-23,1223.88,Swagath Dhaba Andhra,2418,User_2418,Bangalore,Regular,37, Restaurant_37, Mexican,3.1,3.0-3.5
2260,2998,409,30-May-23,333.72,Royal Kitchen Chinese,2998,User_2998,Bangalore,Regular,409, Restaurant_409, Mexican,3.5,3.0-3.5
2859,2512,73,18-Nov-23,225.27,Spice Mess Andhra,2512,User_2512,Bangalore,Regular,73, Restaurant_73, Mexican,3.1,3.0-3.5
3056,705,364,07-Jul-23,269.61,Sri Foods Non-Veg,705,User_705,Bangalore,Regular,364, Restaurant_364, Mexican,3.4,3.0-3.5
3108,2210,155,20-Mar-23,826.45,Udupi Biryani Family Restaurant,2210,User_2210,Bangalore,Regular,155, Restaurant_155, Mexican,3.1,3.0-3.5
3173,2619,331,11-Oct-23,509.66,Spice Biryani Non-Veg,2619,User_2619,Bangalore,Regular,331, Restaurant_331, Mexican,3.4,3.0-3.5
3207,2886,409,24-Aug-23,207.97,Royal Kitchen Chinese,2886,User_2886,Bangalore,Regular,409, Restaurant_409, Mexican,3.5,3.0-3.5
3217,907,402,18-Nov-23,113.74,Sai Restaurant Andhra,907,User_907,Bangalore,Regular,402, Restaurant_402, Mexican,3.3,3.0-3.5
3238,1445,409,09-Jul-23,935.97,Royal Kitchen Chinese,1445,User_1445,Bangalore,Regular,409, Restaurant_409, Mexican,3.5,3.0-3.5
3274,801,277,20-May-23,1237.61,Swagath Restaurant North Indian,801,User_801,Bangalore,Regular,277, Restaurant_277, Mexican,3.3,3.0-3.5
3374,1931,178,16-Aug-23,1011.72,Sai Mess North Indian,1931,User_1931,Bangalore,Regular,178, Restaurant_178, Mexican,3.1,3.0-3.5
3430,1800,364,10-Apr-23,1365.71,Sri Foods Non-Veg,1800,User_1800,Bangalore,Regular,364, Restaurant_364, Mexican,3.4,3.0-3.5
3613,1001,247,26-Jul-23,652.13,Hotel Mess Punjabi,1001,User_1001,Bangalore,Regular,247, Restaurant_247, Mexican,3.2,3.0-3.5
3628,1391,422,18-Apr-23,619.85,Sai Curry House South Indian,1391,User_1391,Bangalore,Regular,422, Restaurant_422, Mexican,3,3.0-3.5
3690,794,350,17-Jun-23,648.55,Classic Curry House South Indian,794,User_794,Bangalore,Regular,350, Restaurant_350, Mexican,3.2,3.0-3.5
3823,934,201,05-Oct-23,182.49,Spice Cafe Pure Veg,934,User_934,Bangalore,Regular,201, Restaurant_201, Mexican,3.4,3.0-3.5
3862,307,220,19-Apr-23,1484.13,Spice Kitchen North Indian,307,User_307,Bangalore,Regular,220, Restaurant_220, Mexican,3.2,3.0-3.5
3953,1179,450,20-Jun-23,1121.91,New Foods Chinese,1179,User_1179,Bangalore,Regular,450, Restaurant_450, Mexican,3.2,3.0-3.5
3973,2595,350,04-Mar-23,1271.47,Classic Curry House South Indian,2595,User_2595,Bangalore,Regular,350, Restaurant_350, Mexican,3.2,3.0-3.5
4101,1311,448,01-Aug-23,511.98,Amma Biryani Family Restaurant,1311,User_1311,Bangalore,Regular,448, Restaurant_448, Mexican,3.4,3.0-3.5
4173,399,201,31-May-23,1124.29,Spice Cafe Pure Veg,399,User_399,Bangalore,Regular,201, Restaurant_201, Mexican,3.4,3.0-3.5
4349,1415,394,28-Feb-23,765.53,Grand Tiffins South Indian,1415,User_1415,Bangalore,Regular,394, Restaurant_394, Mexican,3.5,3.0-3.5
4409,749,474,25-Jan-23,575.2,Annapurna Tiffins Pure Veg,749,User_749,Bangalore,Regular,474, Restaurant_474, Mexican,3.5,3.0-3.5
4425,1431,450,24-Nov-23,626.32,New Foods Chinese,1431,User_1431,Bangalore,Regular,450, Restaurant_450, Mexican,3.2,3.0-3.5
4476,1969,12,30-Nov-23,864.21,Royal Foods Multicuisine,1969,User_1969,Bangalore,Regular,12, Restaurant_12, Mexican,3.4,3.0-3.5
4545,2726,73,03-Apr-23,1495.19,Spice Mess Andhra,2726,User_2726,Bangalore,Regular,73, Restaurant_73, Mexican,3.1,3.0-3.5
4718,1391,184,24-Sep-23,941.21,Annapurna Tiffins Punjabi,1391,User_1391,Bangalore,Regular,184, Restaurant_184, Mexican,3.5,3.0-3.5
4751,693,303,06-Feb-23,456.74,Swagath Foods Andhra,693,User_693,Bangalore,Regular,303, Restaurant_303, Mexican,3.2,3.0-3.5
4756,1197,364,13-Apr-23,639.31,Sri Foods Non-Veg,1197,User_1197,Bangalore,Regular,364, Restaurant_364, Mexican,3.4,3.0-3.5
4902,668,417,03-Mar-23,1001.86,Hotel Biryani North Indian,668,User_668,Bangalore,Regular,417, Restaurant_417, Mexican,3,3.0-3.5
5047,2595,65,14-Mar-23,923.46,Grand Eatery Non-Veg,2595,User_2595,Bangalore,Regular,65, Restaurant_65, Mexican,3.2,3.0-3.5
5128,1001,65,05-Feb-23,164.05,Grand Eatery Non-Veg,1001,User_1001,Bangalore,Regular,65, Restaurant_65, Mexican,3.2,3.0-3.5
5165,1805,394,20-Aug-23,1394.17,Grand Tiffins South Indian,1805,User_1805,Bangalore,Regular,394, Restaurant_394, Mexican,3.5,3.0-3.5
5182,2291,73,19-Oct-23,127.49,Spice Mess Andhra,2291,User_2291,Bangalore,Regular,73, Restaurant_73, Mexican,3.1,3.0-3.5
5245,2534,402,17-Jul-23,1137.71,Sai Restaurant Andhra,2534,User_2534,Bangalore,Regular,402, Restaurant_402, Mexican,3.3,3.0-3.5
5268,1313,178,13-Jun-23,703.26,Sai Mess North Indian,1313,User_1313,Bangalore,Regular,178, Restaurant_178, Mexican,3.1,3.0-3.5
5442,211,417,25-Dec-23,1324.6,Hotel Biryani North Indian,211,User_211,Bangalore,Regular,417, Restaurant_417, Mexican,3,3.0-3.5
5455,1219,174,07-Aug-23,708.29,Amma Biryani North Indian,1219,User_1219,Bangalore,Regular,174, Restaurant_174, Mexican,3.1,3.0-3.5
5459,1313,364,08-Oct-23,251.91,Sri Foods Non-Veg,1313,User_1313,Bangalore,Regular,364, Restaurant_364, Mexican,3.4,3.0-3.5
5531,2606,422,04-Apr-23,642.5,Sai Curry House South Indian,2606,User_2606,Bangalore,Regular,422, Restaurant_422, Mexican,3,3.0-3.5
5591,332,350,19-May-23,1052.93,Classic Curry House South Indian,332,User_332,Bangalore,Regular,350, Restaurant_350, Mexican,3.2,3.0-3.5
5659,1447,255,06-Apr-23,510.53,Hotel Tiffins Punjabi,1447,User_1447,Bangalore,Regular,255, Restaurant_255, Mexican,3.1,3.0-3.5
5705,287,73,16-Oct-23,310.67,Spice Mess Andhra,287,User_287,Bangalore,Regular,73, Restaurant_73, Mexican,3.1,3.0-3.5
5731,1458,201,27-Nov-23,352.56,Spice Cafe Pure Veg,1458,User_1458,Bangalore,Regular,201, Restaurant_201, Mexican,3.4,3.0-3.5
5839,1937,124,31-Jul-23,998.96,Spice Dhaba Andhra,1937,User_1937,Bangalore,Regular,124, Restaurant_124, Mexican,3.5,3.0-3.5
5862,590,255,14-Mar-23,276.11,Hotel Tiffins Punjabi,590,User_590,Bangalore,Regular,255, Restaurant_255, Mexican,3.1,3.0-3.5
5907,1800,364,27-Apr-23,207.96,Sri Foods Non-Veg,1800,User_1800,Bangalore,Regular,364, Restaurant_364, Mexican,3.4,3.0-3.5
5914,2512,439,06-Dec-23,207.55,Classic Cafe Family Restaurant,2512,User_2512,Bangalore,Regular,439, Restaurant_439, Mexican,3.1,3.0-3.5
5939,43,448,19-Oct-23,306.33,Amma Biryani Family Restaurant,43,User_43,Bangalore,Regular,448, Restaurant_448, Mexican,3.4,3.0-3.5
6004,2753,299,24-Nov-23,908.96,Taste of Kitchen North Indian,2753,User_2753,Bangalore,Regular,299, Restaurant_299, Mexican,3.2,3.0-3.5
6218,1225,317,30-Jul-23,910.23,Darbar Cafe Pure Veg,1225,User_1225,Bangalore,Regular,317, Restaurant_317, Mexican,3.5,3.0-3.5
6403,2570,450,28-May-23,827.92,New Foods Chinese,2570,User_2570,Bangalore,Regular,450, Restaurant_450, Mexican,3.2,3.0-3.5
6430,2763,402,27-May-23,328.61,Sai Restaurant Andhra,2763,User_2763,Bangalore,Regular,402, Restaurant_402, Mexican,3.3,3.0-3.5
6444,1601,402,04-Mar-23,101.36,Sai Restaurant Andhra,1601,User_1601,Bangalore,Regular,402, Restaurant_402, Mexican,3.3,3.0-3.5
6555,37,476,17-Nov-23,282.26,Royal Curry House Multicuisine,37,User_37,Bangalore,Regular,476, Restaurant_476, Mexican,3.4,3.0-3.5
6680,668,247,31-Aug-23,732.26,Hotel Mess Punjabi,668,User_668,Bangalore,Regular,247, Restaurant_247, Mexican,3.2,3.0-3.5
6779,149,37,15-Nov-23,406.86,Swagath Dhaba Andhra,149,User_149,Bangalore,Regular,37, Restaurant_37, Mexican,3.1,3.0-3.5
6788,1337,439,17-Jan-23,121.77,Classic Cafe Family Restaurant,1337,User_1337,Bangalore,Regular,439, Restaurant_439, Mexican,3.1,3.0-3.5
6855,1664,317,28-Feb-23,1403.85,Darbar Cafe Pure Veg,1664,User_1664,Bangalore,Regular,317, Restaurant_317, Mexican,3.5,3.0-3.5
6870,1253,174,20-Aug-23,575.7,Amma Biryani North Indian,1253,User_1253,Bangalore,Regular,174, Restaurant_174, Mexican,3.1,3.0-3.5
7010,294,400,29-Oct-23,616.56,Ruchi Tiffins Non-Veg,294,User_294,Bangalore,Regular,400, Restaurant_400, Mexican,3.4,3.0-3.5
7064,921,417,20-Mar-23,650.48,Hotel Biryani North Indian,921,User_921,Bangalore,Regular,417, Restaurant_417, Mexican,3,3.0-3.5
7134,994,141,03-Nov-23,884.37,Amma Kitchen South Indian,994,User_994,Bangalore,Regular,141, Restaurant_141, Mexican,3.3,3.0-3.5
7143,418,317,08-Aug-23,1295.85,Darbar Cafe Pure Veg,418,User_418,Bangalore,Regular,317, Restaurant_317, Mexican,3.5,3.0-3.5
7256,1800,394,14-Jan-23,962.88,Grand Tiffins South Indian,1800,User_1800,Bangalore,Regular,394, Restaurant_394, Mexican,3.5,3.0-3.5
7375,2444,400,24-Dec-23,989.43,Ruchi Tiffins Non-Veg,2444,User_2444,Bangalore,Regular,400, Restaurant_400, Mexican,3.4,3.0-3.5
7393,711,206,28-Nov-23,821.95,Swagath Biryani Non-Veg,711,User_711,Bangalore,Regular,206, Restaurant_206, Mexican,3.2,3.0-3.5
7417,705,72,05-Dec-23,417.14,Sri Foods Chinese,705,User_705,Bangalore,Regular,72, Restaurant_72, Mexican,3.4,3.0-3.5
7485,1556,394,06-May-23,408.83,Grand Tiffins South Indian,1556,User_1556,Bangalore,Regular,394, Restaurant_394, Mexican,3.5,3.0-3.5
7505,590,299,13-Oct-23,1206.53,Taste of Kitchen North Indian,590,User_590,Bangalore,Regular,299, Restaurant_299, Mexican,3.2,3.0-3.5
7519,1665,409,25-Jul-23,1039.78,Royal Kitchen Chinese,1665,User_1665,Bangalore,Regular,409, Restaurant_409, Mexican,3.5,3.0-3.5
7637,406,255,27-Apr-23,455.4,Hotel Tiffins Punjabi,406,User_406,Bangalore,Regular,255, Restaurant_255, Mexican,3.1,3.0-3.5
7705,1537,206,03-May-23,748.24,Swagath Biryani Non-Veg,1537,User_1537,Bangalore,Regular,206, Restaurant_206, Mexican,3.2,3.0-3.5
7711,1131,394,21-Feb-23,355.27,Grand Tiffins South Indian,1131,User_1131,Bangalore,Regular,394, Restaurant_394, Mexican,3.5,3.0-3.5
7797,2559,72,31-Aug-23,1003.16,Sri Foods Chinese,2559,User_2559,Bangalore,Regular,72, Restaurant_72, Mexican,3.4,3.0-3.5
7869,731,439,12-Feb-23,974.15,Classic Cafe Family Restaurant,731,User_731,Bangalore,Regular,439, Restaurant_439, Mexican,3.1,3.0-3.5
7873,974,247,29-Nov-23,876.45,Hotel Mess Punjabi,974,User_974,Bangalore,Regular,247, Restaurant_247, Mexican,3.2,3.0-3.5
7888,2185,443,21-Aug-23,1396.76,Darbar Foods Andhra,2185,User_2185,Bangalore,Regular,443, Restaurant_443, Mexican,3.4,3.0-3.5
7928,1179,364,21-Oct-23,617.53,Sri Foods Non-Veg,1179,User_1179,Bangalore,Regular,364, Restaurant_364, Mexican,3.4,3.0-3.5
8057,256,474,23-Jun-23,116.51,Annapurna Tiffins Pure Veg,256,User_256,Bangalore,Regular,474, Restaurant_474, Mexican,3.5,3.0-3.5
8252,1229,303,10-Jun-23,754.99,Swagath Foods Andhra,1229,User_1229,Bangalore,Regular,303, Restaurant_303, Mexican,3.2,3.0-3.5
8289,2631,408,15-Sep-23,363.95,Darbar Eatery Family Restaurant,2631,User_2631,Bangalore,Regular,408, Restaurant_408, Mexican,3,3.0-3.5
8334,2615,255,20-Jan-23,1101.06,Hotel Tiffins Punjabi,2615,User_2615,Bangalore,Regular,255, Restaurant_255, Mexican,3.1,3.0-3.5
8506,2220,37,21-Feb-23,165.05,Swagath Dhaba Andhra,2220,User_2220,Bangalore,Regular,37, Restaurant_37, Mexican,3.1,3.0-3.5
8564,990,174,02-Aug-23,1393.26,Amma Biryani North Indian,990,User_990,Bangalore,Regular,174, Restaurant_174, Mexican,3.1,3.0-3.5
8650,1529,422,28-Jan-23,485.25,Sai Curry House South Indian,1529,User_1529,Bangalore,Regular,422, Restaurant_422, Mexican,3,3.0-3.5
8653,1697,245,18-Dec-23,1220.26,Classic Biryani North Indian,1697,User_1697,Bangalore,Regular,245, Restaurant_245, Mexican,3.5,3.0-3.5
8721,2688,400,04-Jul-23,560.74,Ruchi Tiffins Non-Veg,2688,User_2688,Bangalore,Regular,400, Restaurant_400, Mexican,3.4,3.0-3.5
8758,2197,155,25-Sep-23,270.23,Udupi Biryani Family Restaurant,2197,User_2197,Bangalore,Regular,155, Restaurant_155, Mexican,3.1,3.0-3.5
8769,2405,72,18-May-23,471.86,Sri Foods Chinese,2405,User_2405,Bangalore,Regular,72, Restaurant_72, Mexican,3.4,3.0-3.5
8788,1838,206,06-Mar-23,207.23,Swagath Biryani Non-Veg,1838,User_1838,Bangalore,Regular,206, Restaurant_206, Mexican,3.2,3.0-3.5
8865,2890,247,29-Jun-23,583.83,Hotel Mess Punjabi,2890,User_2890,Bangalore,Regular,247, Restaurant_247, Mexican,3.2,3.0-3.5
8950,1797,417,17-Aug-23,259.77,Hotel Biryani North Indian,1797,User_1797,Bangalore,Regular,417, Restaurant_417, Mexican,3,3.0-3.5
8991,1515,65,03-Jun-23,848.64,Grand Eatery Non-Veg,1515,User_1515,Bangalore,Regular,65, Restaurant_65, Mexican,3.2,3.0-3.5
9170,4,439,28-Jul-23,981.25,Classic Cafe Family Restaurant,4,User_4,Bangalore,Regular,439, Restaurant_439, Mexican,3.1,3.0-3.5
9247,2730,408,15-Aug-23,854.46,Darbar Eatery Family Restaurant,2730,User_2730,Bangalore,Regular,408, Restaurant_408, Mexican,3,3.0-3.5
9317,1556,141,18-Dec-23,183.91,Amma Kitchen South Indian,1556,User_1556,Bangalore,Regular,141, Restaurant_141, Mexican,3.3,3.0-3.5
9496,621,255,19-May-23,490.48,Hotel Tiffins Punjabi,621,User_621,Bangalore,Regular,255, Restaurant_255, Mexican,3.1,3.0-3.5
9742,59,450,21-Sep-23,180.82,New Foods Chinese,59,User_59,Bangalore,Regular,450, Restaurant_450, Mexican,3.2,3.0-3.5
2975,2534,131,16-Sep-23,1345.92,Hotel Restaurant Non-Veg,2534,User_2534,Bangalore,Regular,131, Restaurant_131, Italian,3.4,3.0-3.5
43,380,256,26-Mar-23,850.52,Sri Curry House Andhra,380,User_380,Bangalore,Regular,256, Restaurant_256, Italian,3.1,3.0-3.5
844,146,435,23-Nov-23,1115.61,Classic Delights North Indian,146,User_146,Bangalore,Regular,435, Restaurant_435, Italian,3.1,3.0-3.5
72,204,413,28-Nov-23,575.36,Sai Curry House Punjabi,204,User_204,Bangalore,Regular,413, Restaurant_413, Italian,3.3,3.0-3.5
388,2829,131,25-Nov-23,1023.3,Hotel Restaurant Non-Veg,2829,User_2829,Bangalore,Regular,131, Restaurant_131, Italian,3.4,3.0-3.5
478,2216,131,17-Nov-23,170.89,Hotel Restaurant Non-Veg,2216,User_2216,Bangalore,Regular,131, Restaurant_131, Italian,3.4,3.0-3.5
2379,349,164,08-Feb-23,596.73,Udupi Mess Family Restaurant,349,User_349,Bangalore,Regular,164, Restaurant_164, Italian,3.5,3.0-3.5
1238,565,276,07-Jun-23,863.89,Sri Kitchen Chinese,565,User_565,Bangalore,Regular,276, Restaurant_276, Italian,3.4,3.0-3.5
1823,1538,7,20-May-23,1178.74,Ruchi Biryani Punjabi,1538,User_1538,Bangalore,Regular,7, Restaurant_7, Italian,3.2,3.0-3.5
510,790,257,04-Dec-23,720.04,Sri Kitchen Family Restaurant,790,User_790,Bangalore,Regular,257, Restaurant_257, Italian,3.4,3.0-3.5
598,833,199,03-Apr-23,158.23,Sri Eatery Chinese,833,User_833,Bangalore,Regular,199, Restaurant_199, Italian,3.4,3.0-3.5
668,797,51,29-Dec-23,655.12,Sri Eatery South Indian,797,User_797,Bangalore,Regular,51, Restaurant_51, Italian,3,3.0-3.5
941,2825,7,04-Jul-23,1094.48,Ruchi Biryani Punjabi,2825,User_2825,Bangalore,Regular,7, Restaurant_7, Italian,3.2,3.0-3.5
1128,1774,489,08-Dec-23,994.19,Swagath Foods Punjabi,1774,User_1774,Bangalore,Regular,489, Restaurant_489, Italian,3,3.0-3.5
2706,1414,276,23-Feb-23,967.56,Sri Kitchen Chinese,1414,User_1414,Bangalore,Regular,276, Restaurant_276, Italian,3.4,3.0-3.5
2061,1762,467,23-May-23,1264.39,Sai Biryani South Indian,1762,User_1762,Bangalore,Regular,467, Restaurant_467, Italian,3.3,3.0-3.5
2306,1887,261,30-Jul-23,323.6,Spice Mess Non-Veg,1887,User_1887,Bangalore,Regular,261, Restaurant_261, Italian,3.5,3.0-3.5
1973,1943,51,14-Dec-23,691.41,Sri Eatery South Indian,1943,User_1943,Bangalore,Regular,51, Restaurant_51, Italian,3,3.0-3.5
2235,1970,276,09-Mar-23,1300.02,Sri Kitchen Chinese,1970,User_1970,Bangalore,Regular,276, Restaurant_276, Italian,3.4,3.0-3.5
2645,2012,257,01-May-23,378.85,Sri Kitchen Family Restaurant,2012,User_2012,Bangalore,Regular,257, Restaurant_257, Italian,3.4,3.0-3.5
2050,2195,32,28-Jan-23,348.85,Udupi Eatery North Indian,2195,User_2195,Bangalore,Regular,32, Restaurant_32, Italian,3.2,3.0-3.5
2151,2938,261,07-Aug-23,735.22,Spice Mess Non-Veg,2938,User_2938,Bangalore,Regular,261, Restaurant_261, Italian,3.5,3.0-3.5
2654,2615,32,20-Jan-23,903.77,Udupi Eatery North Indian,2615,User_2615,Bangalore,Regular,32, Restaurant_32, Italian,3.2,3.0-3.5
3019,961,140,15-Mar-23,1091.02,Royal Tiffins Punjabi,961,User_961,Bangalore,Regular,140, Restaurant_140, Italian,3.3,3.0-3.5
3034,2360,36,03-Dec-23,601.7,Sai Dhaba South Indian,2360,User_2360,Bangalore,Regular,36, Restaurant_36, Italian,3.5,3.0-3.5
3085,2429,179,27-Aug-23,1497.42,Annapurna Foods Multicuisine,2429,User_2429,Bangalore,Regular,179, Restaurant_179, Italian,3.5,3.0-3.5
3125,2529,199,31-Aug-23,577.6,Sri Eatery Chinese,2529,User_2529,Bangalore,Regular,199, Restaurant_199, Italian,3.4,3.0-3.5
3543,1067,164,06-Jun-23,1218.26,Udupi Mess Family Restaurant,1067,User_1067,Bangalore,Regular,164, Restaurant_164, Italian,3.5,3.0-3.5
3657,2530,256,25-Jul-23,1058.73,Sri Curry House Andhra,2530,User_2530,Bangalore,Regular,256, Restaurant_256, Italian,3.1,3.0-3.5
3747,2220,257,06-Sep-23,445.35,Sri Kitchen Family Restaurant,2220,User_2220,Bangalore,Regular,257, Restaurant_257, Italian,3.4,3.0-3.5
3881,179,32,24-Aug-23,1217.13,Udupi Eatery North Indian,179,User_179,Bangalore,Regular,32, Restaurant_32, Italian,3.2,3.0-3.5
3904,297,56,19-Jun-23,1321.58,Sri Delights Pure Veg,297,User_297,Bangalore,Regular,56, Restaurant_56, Italian,3.2,3.0-3.5
3942,2280,148,14-Dec-23,322.33,Swagath Restaurant North Indian,2280,User_2280,Bangalore,Regular,148, Restaurant_148, Italian,3.2,3.0-3.5
4091,668,162,26-Jun-23,1164.26,New Foods Multicuisine,668,User_668,Bangalore,Regular,162, Restaurant_162, Italian,3.3,3.0-3.5
4162,731,261,03-Apr-23,649.16,Spice Mess Non-Veg,731,User_731,Bangalore,Regular,261, Restaurant_261, Italian,3.5,3.0-3.5
4168,968,56,07-Dec-23,1397.42,Sri Delights Pure Veg,968,User_968,Bangalore,Regular,56, Restaurant_56, Italian,3.2,3.0-3.5
4202,15,216,10-Apr-23,499.57,Classic Delights Non-Veg,15,User_15,Bangalore,Regular,216, Restaurant_216, Italian,3.1,3.0-3.5
